country,min_life,avg_life,max_life
Albania,55.23,68.43291666666667,76.423
Austria,66.8,73.10325,79.829
Belgium,68,73.64175,79.441
Bosnia and Herzegovina,53.82,67.70783333333334,74.852
Bulgaria,59.6,69.74375,73.005
Croatia,61.21,70.05591666666666,75.748
Czech Republic,66.87,71.51050000000001,76.486
Denmark,70.78,74.37016666666666,78.332
Finland,66.55,72.99191666666667,79.313
France,67.41,74.34891666666667,80.657
Germany,67.5,73.44441666666667,79.406
Greece,65.86,73.73316666666666,79.483
Hungary,64.03,69.39316666666667,73.338
Iceland,72.49,76.51141666666666,81.757
Ireland,66.91,73.01725,78.885
Italy,65.94,74.01383333333334,80.546
Montenegro,59.164,70.29916666666666,75.445
Netherlands,72.13,75.6485,79.762
Norway,72.67,75.843,80.196
Poland,61.31,70.17691666666667,75.563
Portugal,59.82,70.41983333333333,78.098
Romania,61.05,68.29066666666667,72.476
Serbia,57.996,68.551,74.002
Slovak Republic,64.36,70.69608333333333,74.663
Slovenia,65.57,71.60075,77.926
Spain,64.94,74.20341666666667,80.941
Sweden,71.86,76.17699999999999,80.884
Switzerland,69.62,75.56508333333333,81.701
Turkey,43.585,59.696416666666664,71.777
United Kingdom,69.18,73.92258333333334,79.425
